"147","000555.SZ","神州信息","121.8933","信息技术","软件与服务","信息技术服务","信息科技咨询与其它服务","96343.13"
"148","000557.SZ","西部创业","62.4768","工业","运输","公路与铁路运输","铁路运输","145837.47"
"149","000558.SZ","莱茵体育","46.7473","可选消费","消费者服务","酒店、餐馆与休闲","休闲设施","128922.39"
"150","000559.SZ","万向钱潮","181.4332","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","275315.94"
"151","000560.SZ","我爱我家","138.7390","房地产","房地产","房地产管理和开发","房地产经营公司","235550.09"
"152","000561.SZ","烽火电子","42.6242","信息技术","技术硬件与设备","通信设备","通信设备","60477.08"
"153","000563.SZ","陕国投A","228.4064","金融","多元金融","资本市场","资产管理与托管银行","396401.28"
"154","000564.SZ","供销大集","217.7237","可选消费","零售业","多元化零售","百货商店","600782.81"
"155","000565.SZ","渝三峡A","24.0384","材料","材料","化工","特种化工","43359.22"
"156","000566.SZ","海南海药","93.3048","医疗保健","制药、生物科技与生命科学","制药","西药","133597.94"
"157","000567.SZ","海德股份","61.1425","金融","多元金融","资本市场","资产管理与托管银行","44216.48"
"158","000568.SZ","泸州老窖","782.8809","日常消费","食品、饮料与烟草","饮料","白酒与葡萄酒","146475.25"
"159","000570.SZ","苏常柴A","26.0927","工业","资本货物","机械","建筑机械与重型卡车","56137.43"
"160","000571.SZ","新大洲A","28.3783","工业","资本货物","综合类","综合类行业","81406.40"
"161","000572.SZ","海马汽车","44.6683","可选消费","汽车与汽车零部件","汽车","汽车制造","164463.64"
"162","000573.SZ","粤宏远A","23.4403","房地产","房地产","房地产管理和开发","房地产开发","64895.56"
"163","000576.SZ","广东甘化","44.3127","材料","材料","纸与林木产品","纸制品","44286.13"
"164","000581.SZ","威孚高科","217.8728","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","100895.06"
"165","000582.SZ","北部湾港","135.2155","工业","运输","交通基础设施","海港与服务","163461.69"
"166","000584.SZ","哈工智能","52.8563","工业","资本货物","机械","工业机械","61332.43"
"167","000585.SZ","*ST东电","21.9915","工业","资本货物","电气设备","电气部件与设备","87337.00"
"168","000586.SZ","汇源通信","23.5881","信息技术","技术硬件与设备","通信设备","通信设备","19344.00"
"169","000587.SZ","金洲慈航","70.4660","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","服装、服饰与奢侈品","212374.94"
"170","000589.SZ","黔轮胎A","31.1116","可选消费","汽车与汽车零部件","汽车零配件","轮胎与橡胶","77546.43"
"171","000590.SZ","启迪古汉","18.2717","医疗保健","制药、生物科技与生命科学","制药","中药","23947.13"
"172","000591.SZ","太阳能","119.0811","公用事业","公用事业","独立电力生产商与能源贸易商","新能源发电业者","300709.81"
"173","000592.SZ","平潭发展","80.2462","材料","材料","纸与林木产品","林木产品","193178.09"
"174","000593.SZ","大通燃气","25.4700","公用事业","公用事业","燃气","燃气","35863.10"
"175","000595.SZ","宝塔实业","29.2872","工业","资本货物","机械","工业机械","76427.93"
"176","000596.SZ","古井贡酒","398.1462","日常消费","食品、饮料与烟草","饮料","白酒与葡萄酒","50360.00"
"177","000597.SZ","东北制药","74.8191","医疗保健","制药、生物科技与生命科学","制药","西药","60719.91"
"178","000598.SZ","兴蓉环境","144.0552","公用事业","公用事业","水务","水务","298621.88"
"179","000599.SZ","青岛双星","36.5002","可选消费","汽车与汽车零部件","汽车零配件","轮胎与橡胶","83562.76"
