date,商业银行,房地产管理和开发,制药,商业服务与用品,机械,综合类,建筑与工程,建材,家庭耐用消费品,休闲设备与用品,饮料,电脑与外围设备,专营零售,纺织品、服装与奢侈品,电力,医疗保健提供商与服务,汽车零配件,电子设备、仪器和元件,媒体,独立电力生产商与能源贸易商,食品,电气设备,石油、天然气与供消费用燃料,金属、非金属与采矿,食品与主要用品零售,通信设备,酒店、餐馆与休闲,交通基础设施,航空,贸易公司与工业品经销商,资本市场,化工,生物科技,燃气,多元金融服务,多元化零售,纸与林木产品,互联网软件与服务,航空航天与国防,海运,家庭用品,综合消费者服务,水务,汽车,信息技术服务,公路与铁路运输,建筑产品,保险,容器与包装,半导体产品与半导体设备,复合型公用事业,专业服务,软件,能源设备与服务,航空货运与物流,互联网与售货目录零售,医疗保健设备与用品,消费品经销商,多元电信服务,个人用品,生命科学工具和服务
19910214,0,0,0,0,0,0.5194,0,0,-0.5085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910219,0,0,0,0,0,0.5167,0,0,-0.5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910220,0,0,0,0,0,0.435,0,0,-0.4881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910221,0,0,0,0,0,0.5118,0,0,-0.4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910222,0,0.5246,0.0,-0.4978,0,0.5092,0,0,-0.4929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910225,0,0.0,0.0,-1.0006,0,0,0,0,-0.4953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910226,0,-0.5219,0.0,-0.5054,0,0,0,0,0.4978,0,0,0,-89.9469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910227,0,-0.5246,0.0,-0.5079,0,0,0,0,0.4953,0,0,0,0.5277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910228,0,-0.5274,0.0,-0.5105,0,0,0,0,0.4929,0,0,0,0.5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910301,0,-0.5302,0.0,-0.5131,0,0,0,0,0.4904,0,0,0,0.5222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910304,0,-0.9993,0,-1.0316,0,0,0,0,-0.4881,0,0,0,0.5195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.507268,0,0,0,0,0,0,0,0.4839,0,0,0,0,0,0,0,0
19910305,0,-0.4711,0.0,-0.5212,0,0,0,0,-0.4904,0,0,0,0.5168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910306,0,-0.4733,0.0,-0.5239,0,0,0,0,-0.4929,0,0,0,0.5141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.501457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910307,0,-0.4755,0,-0.5267,0,0,0,0,-0.4953,0,0,0,-0.5115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.493603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910308,0,-0.4778,0,-0.5295,0,0,0,0,-0.4978,0,0,0,-0.5141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.496059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910311,0,-0.9602,0,-0.998,0,-80.0273,0,0,-0.5003,0,0,0,-0.5168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498514,0,0,0,0,0,0,0,1.0022,0,0,0,0,0,0,0,0
19910312,0,-0.4848,0,-0.4704,0,0.0,0,0,-0.5028,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.501014,0,0,0,0,0,0,0,0.5177,0,0,0,0,0,0,0,0
19910313,0,-0.4871,0.0,-0.4727,0,-0.4878,0,0,0.5053,0,0,0,-0.5195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.619695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
